DATA=Galaxy14_sm_f
GALAXY_SEED=1637541619
VISITED_STAR_SYSTEMS=1
+SYS_139926243|SEED=1068043665:NAME=Mouse
+OBJ_1271970134|P=SYS_721371190:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=53:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1382730657:SEED_D=363645007:NAME=Ravana
+OBJ_835991631|P=SYS_721371190:DTYPE=3:DEFNAME=Space station:DEFCLASS=C:MAX_SCRAP=23:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1804518806:SEED_D=542298114:NAME=Kavanga
+SYS_776850335|SEED=1069125091:NAME=Jaunt:ID=4
+OBJ_1265675272|P=SYS_776850335:DTYPE=1:DEFNAME=Barge:DEFCLASS=B:MAX_SCRAP=122:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=1986709454:SEED_D=1069125091:NAME=Kowhai
+OBJ_1084642527|P=SYS_776850335:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=20:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=834756853:SEED_D=1448279587:NAME=Hero of Canton:AI=3
+OBJ_40956141|P=SYS_776850335:DTYPE=1:DEFNAME=Medical:DEFCLASS=A:MAX_SCRAP=51:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=786543436:SEED_D=-1425152109:NAME=Leverage
+OBJ_428096572|P=SYS_776850335:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=21:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=2095462557:SEED_D=-500323574:NAME=Zipgun:AI=2
+OBJ_278061645|P=SYS_776850335:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=10:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=930821448:SEED_D=-1373718920:NAME=Dumpe
+OBJ_1929416733|P=SYS_776850335:DTYPE=1:DEFNAME=Government:DEFCLASS=C:MAX_SCRAP=25:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1496488029:SEED_D=-1053572269:NAME=Short Rider
+OBJ_1109815011|P=SYS_776850335:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=4:DMIN=0.254902:DMAX=0.5882353:SEED_C=-649290035:SEED_D=-351178754:NAME=Pertinax
+OBJ_922201535|P=SYS_776850335:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=0:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1886226762:SEED_D=1383927418:NAME=Klve
+SYS_651282583|SEED=1069622571:NAME=Zhang Beihai
+OBJ_46688895|P=SYS_651282583:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=49:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=1572418947:SEED_D=1069622571:NAME=Columbia
+OBJ_588317168|P=SYS_651282583:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=38:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-217160040:SEED_D=-1736900995:NAME=Nandi
+OBJ_1311415037|P=SYS_651282583:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=23:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=1730718146:SEED_D=1883262649:NAME=Perco
+OBJ_1233940260|P=SYS_651282583:DTYPE=3:DEFNAME=Space station:DEFCLASS=D:MAX_SCRAP=18:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1677722812:SEED_D=1056775505:NAME=Alfndega de F
+OBJ_502826568|P=SYS_651282583:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=20:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=39467977:SEED_D=-892870010:NAME=Innsbruck
+OBJ_208884226|P=SYS_651282583:DTYPE=3:DEFNAME=Space station:DEFCLASS=C:MAX_SCRAP=28:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=960082241:SEED_D=-1038199054:NAME=Lavoisier
+SYS_1574110877|SEED=1070030366:NAME=Proxima-Superioris
+OBJ_1946765490|P=SYS_1574110877:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=42:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=1001098017:SEED_D=1070030366:NAME=O'Bannon
+OBJ_1897444985|P=SYS_1574110877:DTYPE=1:DEFNAME=Medical:DEFCLASS=B:MAX_SCRAP=32:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-637624188:SEED_D=1038143909:NAME=Speckled Wood
+OBJ_1710412010|P=SYS_1574110877:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=39:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1211011839:SEED_D=557797639:NAME=Machadaynu
+OBJ_1153393031|P=SYS_1574110877:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=31:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=699998102:SEED_D=836274059:NAME=Themistoclea
+OBJ_1542170435|P=SYS_1574110877:DTYPE=3:DEFNAME=Space station:DEFCLASS=A:MAX_SCRAP=49:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-670694915:SEED_D=-1470033671:NAME=Saylac
+OBJ_21973181|P=SYS_1574110877:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.5882353:SEED_C=594592502:SEED_D=1588441076
+SYS_107711774|SEED=1070384239:NAME=Tooie:ID=5
+OBJ_1102554144|P=SYS_107711774:DTYPE=1:DEFNAME=Medical:DEFCLASS=B:MAX_SCRAP=37:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1323821884:SEED_D=1070384239:NAME=Grandhaven
+OBJ_2081833395|P=SYS_107711774:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=55:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=1828617773:SEED_D=-444481457:NAME=Pearly Heath
+OBJ_824258840|P=SYS_107711774:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=121:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-465368626:SEED_D=749422103:NAME=Gjallarhorn
+OBJ_1665908550|P=SYS_107711774:DTYPE=1:DEFNAME=Barge:DEFCLASS=B:MAX_SCRAP=137:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1478486487:SEED_D=389843225:NAME=Corsica
+OBJ_287571017|P=SYS_107711774:DTYPE=3:DEFNAME=Space station:DEFCLASS=B:MAX_SCRAP=36:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1428767663:SEED_D=1960456689:NAME=Mattson
+OBJ_910095439|P=SYS_107711774:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.5882353:SEED_C=-57066741:SEED_D=-1276124198
+SYS_411024161|SEED=1070741603:NAME=Niagara:SG=True:SG_CHILD=True:SG_OTHER=GX_1368751329:GXE_P=GXE_1895267369:ID=6
+OBJ_1009622724|P=SYS_411024161:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=59:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=1807475048:SEED_D=1070741603:NAME=Navcom
+OBJ_1630364306|P=SYS_411024161:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=32:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1744830885:SEED_D=-1777897556:NAME=Kikwit
+OBJ_1319223785|P=SYS_411024161:DTYPE=3:DEFNAME=Space station:DEFCLASS=B:MAX_SCRAP=39:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-999198865:SEED_D=-1771243418:NAME=Juneau
+OBJ_1081342529|P=SYS_411024161:DTYPE=3:DEFNAME=Space station:DEFCLASS=D:MAX_SCRAP=10:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-752138983:SEED_D=1228691778:NAME=Isukib
+OBJ_1757057075|P=SYS_411024161:DTYPE=3:DEFNAME=Space station:DEFCLASS=A:MAX_SCRAP=48:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-179839732:SEED_D=-1889882622:NAME=Hephaestus
+OBJ_1728021525|P=SYS_411024161:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=29:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-2060382460:SEED_D=-1894678784:NAME=Micemilk
+SYS_837694199|SEED=1071162323:NAME=Lipotang:ID=1:SS=True:VIEWED=True:FIRST_SHIP_ID=1:LAST_DOCKED_ID=OBJ_950228197:LAST_SELECTED_ID=OBJ_950228197:SCNTYPE=0
+OBJ_646841496|DTYPE=1:MAX_SCRAP=50:SD=True:EPIDX=3:SEED_D=861277558:VISITED=False:NAME=Louis Wu:P=SYS_837694199:ITYPE=PatrolBot:ID=10:DEFNAME=Barge:DEFCLASS=B
+OBJ_1019352435|DTYPE=1:MAX_SCRAP=65:SD=True:EPIDX=2:SEED_D=1643526865:VISITED=False:NAME=Centurion:P=SYS_837694199:ITYPE=PatrolBot:ID=9:DEFNAME=Government:DEFCLASS=C
+OBJ_783298400|DTYPE=1:MAX_SCRAP=35:SD=True:EPIDX=1:SEED_D=-1866528112:VISITED=False:NAME=Pyderi:P=SYS_837694199:ITYPE=PatrolBot:ID=8:DEFNAME=Salvage:DEFCLASS=C
+OBJ_950228197|DTYPE=1:MAX_SCRAP=48:SD=True:EPIDX=0:SEED_D=1072103139:VISITED=False:NAME=Khonsu:P=SYS_837694199:ID=7:DEFNAME=Government:DEFCLASS=C
